Albania,TIRANA
Armenia,YEREVAN
Austria,VIENNA
Azerbaijan,BAKU
Belarus,MINSK
Belgium,BRUSSELS
Bosnia and Herzegovina,SARAJEVO
Bulgaria,SOFIA
Croatia,ZAGREB
Cyprus,NICOSIA
Czechia,PRAGUE
Denmark,COPENHAGEN
Estonia,TALLINN
Finland,HELSINKI
France,PARIS
Georgia,TBILISI
Germany,BERLIN
Greece,ATHENS
Hungary,BUDAPEST
Iceland,REYKJAVIK
Ireland,DUBLIN
Italy,ROME
Kosovo,PRISTINA
Latvia,RIGA
Liechtenstein,VADUZ
Lithuania,VILNIUS
Luxembourg,LUXEMBOURG
Malta,VALLETTA
Moldova,CHISINAU
Monaco,MONACO
Montenegro,PODGORICA
Netherlands,AMSTERDAM
North Macedonia,SKOPJE
Norway,OSLO
Poland,WARSAW
Portugal,LISBON
Romania,BUCHAREST
Russia,MOSCOW
Serbia,BELGRADE
Slovakia,BRATISLAVA
Slovenia,LJUBLJANA
Spain,MADRID
Sweden,STOCKHOLM
Switzerland,BERN
Turkey,ANKARA
Ukraine,KIEV
United Kingdom,LONDON